GCF_009662315.1	Costa Rica	2010
GCF_015697665.1	France: Rouen	2016-07-18
GCF_023093935.1	Colombia: Bogota	2017-04
GCF_025723085.1	Belgium	2018
GCF_028403965.1	France	Missing
GCF_028403985.1	France	Missing
GCF_028404005.1	France	Missing
GCF_028404025.1	France	Missing
GCF_028404045.1	France	Missing
GCF_028404065.1	France	Missing
GCF_028404085.1	France	Missing
GCF_028404105.1	France	Missing
GCF_030183355.2	Australia: Melbourne	2005-01-16
GCF_030183855.2	Australia: Melbourne	2004-01-26
GCF_030185815.2	Australia: Melbourne	2010-06-16
GCF_030185915.2	Australia: Melbourne	2011-05-22
GCF_030186885.2	Australia: Melbourne	2008-03-24
GCF_035557195.1	USA	2023-11-27
GCF_038431895.1	Taiwan	2016
GCF_047049275.1	unknown	unknown
GCF_049565995.1	Germany	2019
GCF_056270745.1	South Korea	2021
GCF_056782815.1	Thailand	2009
GCF_900497025.1
