Accession	Strain	BioProject	Assembly_level	Release_date
GCF_009662315.1	AG1	PRJNA587210	Complete Genome	2019-11-14
GCF_015697665.1	A-I-1	PRJNA656414	Complete Genome	2020-11-30
GCF_023093935.1	34Pae36	PRJNA826526	Complete Genome	2022-04-24
GCF_025723085.1	Pa3	PRJNA776240	Complete Genome	2022-10-17
GCF_028403965.1	2856	PRJNA905051	Complete Genome	2023-02-02
GCF_028403985.1	2867	PRJNA905051	Complete Genome	2023-02-02
GCF_028404005.1	2858	PRJNA905051	Complete Genome	2023-02-02
GCF_028404025.1	2880	PRJNA905051	Complete Genome	2023-02-02
GCF_028404045.1	2857	PRJNA905051	Complete Genome	2023-02-02
GCF_028404065.1	2866	PRJNA905051	Complete Genome	2023-02-02
GCF_028404085.1	2868	PRJNA905051	Complete Genome	2023-02-02
GCF_028404105.1	2881	PRJNA905051	Complete Genome	2023-02-02
GCF_030183355.2	CPO506	PRJNA924056	Complete Genome	2024-02-22
GCF_030183855.2	CPO459	PRJNA924056	Complete Genome	2024-02-22
GCF_030185815.2	CPO180	PRJNA924056	Complete Genome	2024-02-22
GCF_030185915.2	CPO174	PRJNA924056	Complete Genome	2024-02-22
GCF_030186885.2	CPO100	PRJNA924056	Complete Genome	2024-02-22
GCF_035557195.1	2024CK-00032	PRJNA812595	Complete Genome	2024-03-31
GCF_038431895.1	2016S09-057	PRJNA1000275	Complete Genome	2024-04-23
GCF_047049275.1	1485138	PRJNA1113550	Complete Genome	2025-01-23
GCF_049565995.1	Paer44	PRJNA906522	Complete Genome	2025-04-14
GCF_056270745.1	SMC-CZA-R-PA07	PRJNA1417318	Complete Genome	2026-03-23
GCF_056782815.1	MPPA-138	PRJNA1445488	Complete Genome	2026-04-18
GCF_900497025.1		PRJEB27483	Complete Genome	2019-01-29
